DrawDate,WB1,WB2,WB3,WB4,WB5,PB,PP
10/8/08,48,12,54,17,2,2,4.0
1/20/16,44,5,39,69,47,24,5.0
6/9/07,10,7,32,25,41,22,2.0
5/23/09,52,19,57,34,23,21,5.0
8/17/05,8,43,53,30,3,15,5.0
10/22/05,36,6,53,51,7,17,5.0
11/13/10,30,51,17,48,54,29,5.0
4/24/10,57,56,1,53,12,5,2.0
4/30/05,8,48,32,15,17,24,4.0
1/6/10,56,27,29,20,58,31,2.0
7/15/15,45,34,13,50,16,11,2.0
4/27/05,42,11,32,13,18,4,5.0
7/4/12,35,19,14,39,56,33,
8/11/12,51,13,46,39,4,1,
11/10/12,55,32,50,54,42,32,
9/11/02,6,3,39,26,48,28,3.0
6/25/11,18,39,57,36,41,12,4.0
4/22/00,48,3,9,5,42,35,
9/25/99,33,41,36,32,15,7,
4/12/00,31,20,4,25,6,6,
1/10/01,23,22,35,6,9,6,
1/15/11,22,13,9,37,23,31,3.0
9/8/12,34,44,20,48,6,29,
2/13/16,7,15,36,18,19,20,2.0
12/26/01,19,39,23,41,8,21,3.0
2/4/12,23,56,43,45,15,7,
6/23/04,16,20,9,12,39,1,5.0
6/27/98,7,10,31,30,36,37,
8/22/12,47,31,22,29,55,19,
12/8/10,25,8,11,58,41,16,4.0
7/1/98,3,17,29,35,47,34,
6/11/03,44,46,16,12,43,38,2.0
2/9/05,10,15,9,18,29,9,5.0
11/9/02,53,38,30,40,36,8,5.0
5/29/04,1,16,32,39,30,2,5.0
8/12/15,29,38,8,13,52,28,2.0
5/10/00,31,47,20,18,8,11,
5/19/10,7,58,55,29,2,27,3.0
7/10/04,17,44,23,16,26,13,4.0
2/25/17,6,62,32,47,65,19,2.0
12/17/16,16,40,8,48,1,10,2.0
6/16/10,29,18,11,36,8,6,5.0
7/6/05,12,25,48,2,30,38,4.0
5/20/06,23,2,9,44,45,38,2.0
6/7/00,46,45,19,39,49,17,
5/20/15,12,1,44,28,35,25,3.0
11/21/09,26,36,7,49,58,4,5.0
9/13/14,37,6,1,53,16,27,3.0
11/6/99,8,5,12,40,25,28,
2/7/98,40,12,15,5,27,14,
3/14/15,46,47,8,14,39,18,2.0
11/15/00,26,12,46,32,41,18,
4/1/00,4,3,29,38,13,21,
5/21/16,9,32,5,7,23,26,4.0
